12:19:12.460290 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 317: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 275
12:19:12.562691 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 326: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 284
12:19:12.665091 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 389: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 347
12:19:12.766977 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 381: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 339
12:19:12.869378 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 326: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 284
12:19:12.971779 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 365: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 323
12:19:13.074241 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 397: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 355
12:19:13.176129 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 326: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 284
12:19:13.278530 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 385: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 343
12:19:13.380931 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 379: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 337
12:19:13.483329 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 326: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 284
12:19:13.585730 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 381: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 339
12:19:13.613364 00:c0:ca:83:1b:8c > e8:de:27:57:4f:32, ethertype IPv4 (0x0800), length 66: 192.168.0.100.24554 > 192.168.0.1.53: 48435+ A? ubuntu. (24)
12:19:13.614400 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 94: 192.168.0.1 > 192.168.0.100: ICMP net 192.168.0.1 unreachable, length 60
12:19:13.658946 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 391: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 349
12:19:18.617984 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 94: 192.168.0.1 > 192.168.0.100: ICMP net 192.168.0.1 unreachable, length 60
12:19:23.625152 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 94: 192.168.0.1 > 192.168.0.100: ICMP net 192.168.0.1 unreachable, length 60
12:19:28.622080 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype ARP (0x0806), length 42: Reply 192.168.0.1 is-at e8:de:27:57:4f:32, length 28
12:19:28.622592 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 94: 192.168.0.1 > 192.168.0.100: ICMP net 192.168.0.1 unreachable, length 60
12:19:31.176642 e8:de:27:57:4f:32 > 01:00:5e:00:00:01, ethertype IPv4 (0x0800), length 46: 192.168.0.1 > 224.0.0.1: igmp query v2
12:19:33.427010 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 317: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 275
12:19:33.528899 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 326: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 284
12:19:33.628736 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 94: 192.168.0.1 > 192.168.0.100: ICMP net 192.168.0.1 unreachable, length 60
12:19:33.631298 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 389: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 347
12:19:33.723458 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 381: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 339
12:19:33.938497 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 326: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 284
12:19:34.040451 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 365: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 323
12:19:34.142851 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 397: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 355
12:19:34.245250 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 326: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 284
12:19:34.347650 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 385: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 343
12:19:34.449539 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 379: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 337
12:19:34.551937 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 326: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 284
12:19:34.654338 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 381: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 339
12:19:34.756738 e8:de:27:57:4f:32 > 01:00:5e:7f:ff:fa, ethertype IPv4 (0x0800), length 391: 192.168.0.1.60093 > 239.255.255.250.1900: UDP, length 349
12:19:37.258561 00:c0:ca:83:1b:8c > 01:00:5e:00:00:fb, ethertype IPv4 (0x0800), length 46: 192.168.0.100 > 224.0.0.251: igmp v2 report 224.0.0.251
12:19:38.565762 00:c0:ca:83:1b:8c > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.0.2 tell 192.168.0.100, length 28
12:19:38.566786 00:c0:ca:83:1b:8c > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.0.3 tell 192.168.0.100, length 28
12:19:38.567298 00:c0:ca:83:1b:8c > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.0.4 tell 192.168.0.100, length 28
12:19:38.567299 00:c0:ca:83:1b:8c > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.0.5 tell 192.168.0.100, length 28
12:19:38.567811 00:c0:ca:83:1b:8c > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.0.6 tell 192.168.0.100, length 28
12:19:38.568322 00:c0:ca:83:1b:8c > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.0.7 tell 192.168.0.100, length 28
12:19:38.568833 00:c0:ca:83:1b:8c > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.0.8 tell 192.168.0.100, length 28
12:19:38.568832 e8:de:27:57:4f:32 > 00:c0:ca:83:1b:8c, ethertype IPv4 (0x0800), length 74: 192.168.0.1.80 > 192.168.0.100.37204: Flags [S.], seq 2750903411, ack 2579651984, win 5792, options [mss 1460,sackOK,TS val 556376 ecr 2265760,nop,wscale 1], length 0
12:19:38.568834 00:c0:ca:83:1b:8c > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.0.9 tell 192.168.0.100, length 28
12:19:38.569858 00:c0:ca:83:1b:8c > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.0.10 tell 192.168.0.100, length 28
12:19:38.570882 00:c0:ca:83:1b:8c > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.0.13 tell 192.168.0.100, length 28
12:19:38.571393 00:c0:ca:83:1b:8c > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.0.14 tell 192.168.0.100, length 28
